# Timestamp(s)	CAN_ID	DLC	Data
0.000000	351	8	0B B8 00 00 00 00 00 00
0.000000	356	6	01 95 01 E5 01 00
0.000000	370	8	0C 12 0C 23 0C 18 0C 28
0.000000	371	8	0C 16 0C 1F 0C 1C 0C 14
0.000000	355	6	1C 20 1E 28 19 00
0.000000	35F	8	10 68 07 D0 5F 05 5F 00
0.000000	35A	8	00 00 00 01 01 02 03 07
0.000000	35E	8	54 68 75 6C 61 63 65 6C
0.000000	1F2	8	00 00 03 01 2A 00 00 2E
0.000000	1D4	8	00 00 02 46 23 1E 96 96
0.000000	390	8	03 00 00 00 00 00 00 00
0.000000	710	8	FF 2A 60 80 14 DC 93 80
0.000000	711	8	00 00 23 28 02 0C 00 00
0.010000	1F2	8	00 0E 03 01 2A 00 00 3C
0.010000	1D4	8	00 0E 02 52 23 1E 96 96
0.020000	1F2	8	00 1C 03 01 2B 00 00 4B
0.020000	1D4	8	00 1C 02 5D 23 1E 96 96
0.030000	1F2	8	00 2A 03 01 2C 00 00 5A
0.030000	1D4	8	00 2A 02 69 23 1E 96 96
0.040000	1F2	8	00 38 03 01 2D 00 00 69
0.040000	1D4	8	00 38 02 74 23 1E 96 96
0.050000	351	8	0B BC 00 0D 00 03 00 00
0.050000	356	6	01 95 01 E5 01 00
0.050000	370	8	0C 15 0C 26 0C 1B 0C 2B
0.050000	371	8	0C 19 0C 22 0C 1F 0C 17
0.050000	1F2	8	00 46 03 01 2E 00 00 78
0.050000	1D4	8	00 46 02 7F 23 1E 96 96
0.060000	1F2	8	00 54 03 01 2E 00 00 86
0.060000	1D4	8	00 54 02 8B 23 1E 96 96
0.070000	1F2	8	00 62 03 01 2F 00 00 95
0.070000	1D4	8	00 62 02 96 23 1F 96 96
0.080000	1F2	8	00 70 03 01 30 00 00 A4
0.080000	1D4	8	00 70 02 A2 23 1F 96 96
0.090000	1F2	8	00 7E 03 01 31 00 00 B3
0.090000	1D4	8	00 7E 02 AD 23 1F 96 96
0.100000	351	8	0B BF 00 19 00 07 00 00
0.100000	356	6	01 95 01 E5 01 00
0.100000	370	8	0C 19 0C 2A 0C 1F 0C 2F
0.100000	371	8	0C 1D 0C 26 0C 23 0C 1B
0.100000	355	6	1C 20 1E 28 19 00
0.100000	35F	8	10 68 07 D0 5F 05 5F 00
0.100000	35A	8	00 00 01 01 01 02 03 08
0.100000	1F2	8	00 8C 03 01 32 00 00 C2
0.100000	1D4	8	00 8C 02 B8 23 1F 96 96
0.100000	390	8	03 00 00 00 00 00 00 00
0.110000	1F2	8	00 9A 03 01 33 00 00 D1
0.110000	1D4	8	00 9A 02 C4 23 1F 96 96
0.120000	1F2	8	00 A8 03 01 33 00 00 DF
0.120000	1D4	8	00 A8 02 CF 23 1F 96 96
0.130000	1F2	8	00 B6 03 01 34 00 00 EE
0.130000	1D4	8	00 B6 02 DA 23 1F 96 96
0.140000	1F2	8	00 C4 03 01 35 00 00 FD
0.140000	1D4	8	00 C4 02 E6 23 1F 96 96
0.150000	351	8	0B C3 00 26 00 0A 00 00
0.150000	356	6	01 94 01 E4 01 00
0.150000	370	8	0C 1D 0C 2E 0C 23 0C 33
0.150000	371	8	0C 21 0C 2A 0C 27 0C 1F
0.150000	1F2	8	00 D2 03 01 36 00 00 0C
0.150000	1D4	8	00 D2 02 F1 23 1F 96 96
0.160000	1F2	8	00 E0 03 01 37 00 00 1B
0.160000	1D4	8	00 E0 02 FC 23 1F 96 96
0.170000	1F2	8	00 EE 03 01 37 00 00 29
0.170000	1D4	8	00 EE 03 08 23 1F 96 96
0.180000	1F2	8	00 FC 03 01 38 00 00 38
0.180000	1D4	8	00 FC 03 13 23 1F 96 96
0.190000	1F2	8	01 0A 03 01 39 00 00 48
0.190000	1D4	8	01 0A 03 1E 23 20 96 96
0.200000	351	8	0B C7 00 32 00 0D 00 00
0.200000	356	6	01 94 01 E4 01 00
0.200000	370	8	0C 20 0C 31 0C 26 0C 36
0.200000	371	8	0C 24 0C 2D 0C 2A 0C 22
0.200000	355	6	1C 20 1E 28 19 00
0.200000	35F	8	10 68 07 D0 5F 05 5F 00
0.200000	35A	8	00 00 02 01 01 02 03 09
0.200000	1F2	8	01 18 03 01 3A 00 00 57
0.200000	1D4	8	01 18 03 29 23 20 96 96
0.200000	390	8	03 00 00 00 00 00 00 00
0.200000	710	8	FF 2A 60 80 14 DC 93 87
0.200000	711	8	00 4E 23 28 02 0C 00 00
0.210000	1F2	8	01 26 03 01 3B 00 00 66
0.210000	1D4	8	01 26 03 35 23 20 96 96
0.220000	1F2	8	01 34 03 01 3B 00 00 74
0.220000	1D4	8	01 34 03 40 23 20 96 96
0.230000	1F2	8	01 42 03 01 3C 00 00 83
0.230000	1D4	8	01 42 03 4B 23 20 96 96
0.240000	1F2	8	01 50 03 01 3D 00 00 92
0.240000	1D4	8	01 50 03 56 23 20 96 96
0.250000	351	8	0B CB 00 3F 00 11 00 00
0.250000	356	6	01 94 01 E4 01 00
0.250000	370	8	0C 24 0C 35 0C 2A 0C 3A
0.250000	371	8	0C 28 0C 31 0C 2E 0C 26
0.250000	1F2	8	01 5E 03 01 3E 00 00 A1
0.250000	1D4	8	01 5E 03 61 24 20 96 96
0.260000	1F2	8	01 6C 03 01 3F 00 00 B0
0.260000	1D4	8	01 6C 03 6C 24 20 96 96
0.270000	1F2	8	01 7A 03 01 3F 00 00 BE
0.270000	1D4	8	01 7A 03 78 24 20 96 96
0.280000	1F2	8	01 88 03 01 40 00 00 CD
0.280000	1D4	8	01 88 03 83 24 20 96 96
0.290000	1F2	8	01 96 03 01 41 00 00 DC
0.290000	1D4	8	01 96 03 8E 24 20 96 96
0.300000	351	8	0B CE 00 4B 00 14 00 00
0.300000	356	6	01 94 01 E4 03 00
0.300000	370	8	0C 28 0C 39 0C 2E 0C 3E
0.300000	371	8	0C 2C 0C 35 0C 32 0C 2A
0.300000	355	6	1C 20 1E 28 19 00
0.300000	35F	8	10 68 07 D0 5F 05 5F 00
0.300000	35A	8	00 00 03 01 01 02 03 0A
0.300000	1F2	8	01 A4 03 01 42 00 00 EB
0.300000	1D4	8	01 A4 03 99 24 20 96 96
0.300000	390	8	03 00 00 00 00 00 00 00
0.310000	1F2	8	01 B2 03 01 43 00 00 FA
0.310000	1D4	8	01 B2 03 A4 24 20 96 96
0.320000	1F2	8	01 C0 03 01 43 00 00 08
0.320000	1D4	8	01 C0 03 AF 24 21 96 96
0.330000	1F2	8	01 CE 03 01 44 00 00 17
0.330000	1D4	8	01 CE 03 BA 24 21 96 96
0.340000	1F2	8	01 DC 03 01 45 00 00 26
0.340000	1D4	8	01 DC 03 C5 24 21 96 96
0.350000	351	8	0B D2 00 58 00 17 00 00
0.350000	356	6	01 93 01 E3 03 00
0.350000	370	8	0C 2B 0C 3C 0C 31 0C 41
0.350000	371	8	0C 2F 0C 38 0C 35 0C 2D
0.350000	1F2	8	01 EA 03 01 46 00 00 35
0.350000	1D4	8	01 EA 03 D0 24 21 96 96
0.360000	1F2	8	01 F8 03 01 46 00 00 43
0.360000	1D4	8	01 F8 03 DB 24 21 96 96
0.370000	1F2	8	02 06 03 01 47 00 00 53
0.370000	1D4	8	02 06 03 E6 24 21 96 96
0.380000	1F2	8	02 14 03 01 48 00 00 62
0.380000	1D4	8	02 14 03 F1 24 21 96 96
0.390000	1F2	8	02 22 03 01 49 00 00 71
0.390000	1D4	8	02 22 03 FC 24 21 96 96
0.400000	351	8	0B D6 00 64 00 1B 00 00
0.400000	356	6	01 93 01 E3 03 00
0.400000	370	8	0C 2F 0C 40 0C 35 0C 45
0.400000	371	8	0C 33 0C 3C 0C 39 0C 31
0.400000	355	6	1C 20 1E 29 19 00
0.400000	35F	8	10 68 07 D0 5F 05 5F 00
0.400000	35A	8	00 00 04 01 01 02 03 0B
0.400000	1F2	8	02 30 03 01 4A 00 00 80
0.400000	1D4	8	02 30 04 07 24 21 96 96
0.400000	390	8	03 00 00 00 00 00 00 00
0.400000	710	8	FF 2A 60 80 14 DC 93 9D
0.400000	711	8	00 9C 23 28 02 0C 00 00
0.410000	1F2	8	02 3E 03 01 4A 00 00 8E
0.410000	1D4	8	02 3E 04 12 24 21 96 96
0.420000	1F2	8	02 4C 03 01 4B 00 00 9D
0.420000	1D4	8	02 4C 04 1D 24 21 96 96
0.430000	1F2	8	02 5A 03 01 4C 00 00 AC
0.430000	1D4	8	02 5A 04 27 24 21 96 96
0.440000	1F2	8	02 68 03 01 4D 00 00 BB
0.440000	1D4	8	02 68 04 32 24 21 96 96
0.450000	351	8	0B DA 00 71 00 1E 00 00
0.450000	356	6	01 93 01 E3 03 00
0.450000	370	8	0C 33 0C 44 0C 39 0C 49
0.450000	371	8	0C 37 0C 40 0C 3D 0C 35
0.450000	1F2	8	02 76 03 01 4E 00 00 CA
0.450000	1D4	8	02 76 04 3D 24 22 96 96
0.460000	1F2	8	02 84 03 01 4E 00 00 D8
0.460000	1D4	8	02 84 04 48 24 22 96 96
0.470000	1F2	8	02 92 03 01 4F 00 00 E7
0.470000	1D4	8	02 92 04 53 24 22 96 96
0.480000	1F2	8	02 A0 03 01 50 00 00 F6
0.480000	1D4	8	02 A0 04 5D 24 22 96 96
0.490000	1F2	8	02 AE 03 01 51 00 00 05
0.490000	1D4	8	02 AE 04 68 24 22 96 96
0.500000	351	8	0B DD 00 7D 00 21 00 00
0.500000	356	6	01 93 01 E3 03 00
0.500000	370	8	0C 36 0C 47 0C 3C 0C 4C
0.500000	371	8	0C 3A 0C 43 0C 40 0C 38
0.500000	355	6	1C 20 1E 29 19 00
0.500000	35F	8	10 68 07 D0 5F 05 5F 00
0.500000	35A	8	00 00 05 01 01 02 03 0C
0.500000	35E	8	54 68 75 6C 61 63 65 6C
0.500000	1F2	8	02 BC 03 01 51 00 00 13
0.500000	1D4	8	02 BC 04 73 24 22 96 96
0.500000	390	8	03 00 00 00 00 00 00 00
0.510000	1F2	8	02 CA 03 01 52 00 00 22
0.510000	1D4	8	02 CA 04 7E 24 22 96 96
0.520000	1F2	8	02 D8 03 01 53 00 00 31
0.520000	1D4	8	02 D8 04 88 24 22 96 96
0.530000	1F2	8	02 E6 03 01 54 00 00 40
0.530000	1D4	8	02 E6 04 93 24 22 96 96
0.540000	1F2	8	02 F4 03 01 54 00 00 4E
0.540000	1D4	8	02 F4 04 9E 24 22 96 96
0.550000	351	8	0B E1 00 8A 00 25 00 00
0.550000	356	6	01 92 01 E2 03 00
0.550000	370	8	0C 3A 0C 4B 0C 40 0C 50
0.550000	371	8	0C 3E 0C 47 0C 44 0C 3C
0.550000	1F2	8	03 02 03 01 55 00 00 5E
0.550000	1D4	8	03 02 04 A8 24 22 96 96
